Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 824
Retained: 34
Retention rate: 4.1%

Newcomers:
  AnsonCong            | First: 2019-08-14 | Latest: 2019-08-14 | Current activities:  0 | ❌ Not retained
  ArloL                | First: 2018-09-06 | Latest: 2018-09-06 | Current activities:  0 | ❌ Not retained
  AshwinNikam          | First: 2019-01-17 | Latest: 2019-01-17 | Current activities:  0 | ❌ Not retained
  BERA                 | First: 2015-03-13 | Latest: 2015-03-13 | Current activities:  0 | ❌ Not retained
  BeerNapTime          | First: 2019-04-17 | Latest: 2019-04-17 | Current activities:  0 | ❌ Not retained
  BenoitCharret        | First: 2016-03-02 | Latest: 2016-03-02 | Current activities:  0 | ❌ Not retained
  Chhotesh             | First: 2018-05-09 | Latest: 2018-05-09 | Current activities:  0 | ❌ Not retained
  ChunMengLu           | First: 2020-01-19 | Latest: 2020-01-19 | Current activities:  0 | ❌ Not retained
  Consider007          | First: 2016-12-27 | Latest: 2016-12-27 | Current activities:  0 | ❌ Not retained
  Creedzy              | First: 2016-11-23 | Latest: 2016-11-23 | Current activities:  0 | ❌ Not retained
  Daerthox             | First: 2016-10-02 | Latest: 2016-10-02 | Current activities:  0 | ❌ Not retained
  Danepic              | First: 2018-03-08 | Latest: 2018-03-08 | Current activities:  0 | ❌ Not retained
  DhavalShewale        | First: 2020-01-06 | Latest: 2020-01-06 | Current activities:  0 | ❌ Not retained
  DidierLoiseau        | First: 2017-02-16 | Latest: 2017-02-16 | Current activities:  0 | ❌ Not retained
  EliaRohana           | First: 2017-06-25 | Latest: 2017-06-25 | Current activities:  0 | ❌ Not retained
  EstebanDugueperoux2  | First: 2018-11-21 | Latest: 2018-11-21 | Current activities:  0 | ❌ Not retained
  Explox               | First: 2016-05-07 | Latest: 2016-05-07 | Current activities:  0 | ❌ Not retained
  FJiayang             | First: 2019-10-13 | Latest: 2019-10-13 | Current activities:  0 | ❌ Not retained
  FedorRomanov         | First: 2018-10-04 | Latest: 2018-10-04 | Current activities:  0 | ❌ Not retained
